start,title,company,location,posted_time,employment_type,work_setup,career_level,experience_years,tags,link
194,"Senior MEP Design Engineer (HVAC, Plumbing & Firefighting)",3Concepts For Design & Decoration,"Garden City,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"Engineering - Mechanical/Electrical, MEP Design, HVAC, Plumbing, Firefighting, AutoCAD, Revit MEP, Building Codes, Sustainable Design, Project Management",https://wuzzuf.net/jobs/p/3vfrijihmrbc-senior-mep-design-engineer-hvac-plumbing-firefighting-3concepts-for-design-decoration-cairo-egypt
197,Financial Analyst,EGMED,"Heliopolis,Cairo,Egypt",,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance, Budget, Finance, Financial Analysis",https://wuzzuf.net/jobs/p/fv4cuj7y6yjj-financial-analyst-egmed-cairo-egypt
197,QA Data Integrity Professional,APEX Pharma,"Badr City,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,"R&D/Science, Quality, Pharmaceutical, Quality Assurance, QA, Data Integrity, Data Governance (DG), GMP, SOPS, Standard Operating Procedure",https://wuzzuf.net/jobs/p/yt4bjulqg0tu-qa-data-integrity-professional-apex-pharma-cairo-egypt
198,Senior BIM Engineer (TO),Estithmar Holding,"Cairo,Egypt",,Full Time,On-site,Experienced,4 - 6 Yrs of Exp,"Engineering - Construction/Civil/Architecture, Autodesk Revit, AutoCAD, Shop Drawings, BIM, Revit, Engineering, (LOD 100–500), Communication, Architecture",https://wuzzuf.net/jobs/p/xh9cmepwvw8w-senior-bim-engineer-to-estithmar-holding-cairo-egypt
199,Data Entry Specialist,Swiss Garment Company,"10th of Ramadan City,Sharqia,Egypt",,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,"Administration, Manufacturing/Production, Dynamics 365, Data Warehouse, Bill of Materials (BOM), Customs Clearance, Data Entry, Microsoft Excel, Microsoft Office, ERP System",https://wuzzuf.net/jobs/p/xjlkin9c4sgk-data-entry-specialist-swiss-garment-company-sharqia-egypt
200,Data Entry Operator,BeNeshty,"Obour City,Cairo,Egypt",,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,"Administration, Odoo, Microsoft Excel, Data Entry",https://wuzzuf.net/jobs/p/ed3hh8ymacjj-data-entry-operator-beneshty-cairo-egypt
200,Site Reliability Engineer (SRE),Confidential,"Cairo,Egypt",,Full Time,Remote,Experienced,10 - 10 Yrs of Exp,"IT/Software Development, cluster, Design, scaling, Troubleshooting, GitOps, CI/CD pipelines, automation, Python Scripting, Computer Science",https://wuzzuf.net/jobs/p/2bfrt16g96nw-site-reliability-engineer-sre-cairo-egypt
200,Software Business Analyst - Project Manager,eBSEG,"New Cairo,Cairo,Egypt",,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,"IT/Software Development, Project/Program Management, Analyst/Research, PMP, Project Management, Software Development, Analytical, Information Technology (IT), Software, Software Engineering",https://wuzzuf.net/jobs/p/a9wbmkxkncnc-software-business-analyst-project-manager-ebseg-cairo-egypt
205,Data Scientist,Aman,"Maadi,Cairo,Egypt",,Full Time,Hybrid,Experienced,2 - 4 Yrs of Exp,"IT/Software Development, PostgreSQL, Oracle Database, MS SQL databases, Python, PowerShell, Bash",https://wuzzuf.net/jobs/p/0wrf1ytikdl3-data-scientist-aman-cairo-egypt
206,Data Analyst,National technology group,"6th of October,Giza,Egypt",,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,"Analyst/Research, Analysis, SQL, Power BI, Microsoft Excel, Python",https://wuzzuf.net/jobs/p/pt8vw0hn23aw-data-analyst-national-technology-group-giza-egypt
